Season,League,BB%,K%,AVG,BABIP,wOBA
2016,MLB,0.09037526,0.20417338,0.25396662,0.29745384,0.319590275
2017,MLB,0.09407074,0.20864256,0.25638513,0.29891974,0.324830937
2018,MLB,0.09468419,0.21839594,0.24790215,0.29464322,0.31867073
2019,MLB,0.09284209,0.22327402,0.25259352,0.29741993,0.323162364
